paper_link,paper_title,handle,message
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Andromake000,RT @TorstenAkesson: Inte peer reviewed än: Hälften av all smittspridning sker från personer som inte än har symtom. Analys från kontaktspår…
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@MikalJakubal,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@jenniecase,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@TorstenAkesson,Inte peer reviewed än: Hälften av all smittspridning sker från personer som inte än har symtom. Analys från kontaktspårning från 1’178 infekterade i Hunan. #COVID19   ”... with ~50% of transmission occurring in the pre-symptomatic phase. ”  https://t.co/CK
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@HoskoJane,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@blythecreek,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@kenmomd,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@QuoticIndepend1,RT @RATL2020: Social distancing is defined as staying 6 ft away from others for a total of 15 minutes. Kids are at school for 7 hours 2-5 d…
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@IKostenas,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@sanghyuk_shin,"New preprint by @SunKaiyuan @alexvespi and colleagues.  ""transmission risk between 1,178 SARS-CoV-2 infected individuals and their 15,648 close contacts based on detailed contact tracing data from Hunan, China."""
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@PassarelliAllan,RT @RATL2020: Social distancing is defined as staying 6 ft away from others for a total of 15 minutes. Kids are at school for 7 hours 2-5 d…
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@EdoGK6,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2 https://t.co/an687sl7ym"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@kat_gris,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Navarp,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Cheechom,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@ShawnAdamsson,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Dnjairus,"2) La cercanía con los contactos impacta el riesgo: el hogar fue el de mayor riesgo, luego los contactos en la familia extendida, luego el entorno comunitario: para ser efectivo, el distanciamiento social no puede tener fugas."
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@drmarkflowers,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@RileyBWarfield,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@ppiixx,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@1zzyzyx1,RT @RATL2020: Social distancing is defined as staying 6 ft away from others for a total of 15 minutes. Kids are at school for 7 hours 2-5 d…
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@KimDoss71,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@RATL2020,Social distancing is defined as staying 6 ft away from others for a total of 15 minutes. Kids are at school for 7 hours 2-5 days per week.
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@GailWaldby,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Cruellaisdevine,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@aino_kivela,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Deb_B_Smith,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@AliNouriPhD,"2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting: to be effective, social distancing can't be leaky.  Healthcare setting contacts posed lowest risk, suggesting there was adequate PPE"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@medrxivpreprint,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2  https://t.co/x6jweEObvU #medRxiv"
http://medrxiv.org/cgi/content/short/2020.07.26.20162008,COVID-19 mild cases determination from correlating COVID-line calls to reported cases,@medrxivpreprint,COVID-19 mild cases determination from   correlating COVID-line calls to reported cases  https://t.co/QcUjZ0FrmV #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@vignesh110991,RT @ahsanzileali: Pre-print of our meta-analysis on #COVID19 is available now: https://t.co/pxNG4V8Iex   Wonderful work of @vignesh110991 &…
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@vignesh110991,"RT @WaqasHaque4: Worked with two dozen other MPH classmates and researchers, led by @vignesh110991 & mentored by @panagis21, to come up wit…"
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@vignesh110991,Extremely delighted that the pre-print version of our paper is out!  Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis https://t.co/C2EUx85DNs
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@zohaasghar16,RT @ahsanzileali: Pre-print of our meta-analysis on #COVID19 is available now: https://t.co/pxNG4V8Iex   Wonderful work of @vignesh110991 &…
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@EvidenceRobot,"RT @WaqasHaque4: Worked with two dozen other MPH classmates and researchers, led by @vignesh110991 & mentored by @panagis21, to come up wit…"
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@WaqasHaque4,"Worked with two dozen other MPH classmates and researchers, led by @vignesh110991 & mentored by @panagis21, to come up with a COVID-19 meta-analysis! Many great lessons on teamwork and management along the way."
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@ahsanzileali,Pre-print of our meta-analysis on #COVID19 is available now: https://t.co/pxNG4V8Iex   Wonderful work of @vignesh110991 & others from @JohnsHopkinsSPH. Thanks to our mentor @panagis21.  Months of hard work came to fruition 🙌🏼. #teamwork   Waiting for t
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@vignesh110991,RT @medrxivpreprint: Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Revi…
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@CHOMES102,RT @medrxivpreprint: Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Revi…
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@EvidenceRobot,RT @medrxivpreprint: Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Revi…
http://medrxiv.org/cgi/content/short/2020.08.07.20166868,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis,@medrxivpreprint,Factors Associated with Disease Severity and Mortality among Patients with Coronavirus Disease 2019: A Systematic Review and Meta-Analysis  https://t.co/ydf5yhjXAI #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.08.20170746,ApharSeq: An Extraction-free Early-Pooling Protocol for Massively Multiplexed SARS-CoV-2 Detection,@medrxivpreprint,ApharSeq: An Extraction-free Early-Pooling Protocol for Massively Multiplexed SARS-CoV-2 Detection  https://t.co/EQp9UC4wKN #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20170803,COVID-19 Infection Among Healthcare Workers in a National Healthcare System: the Qatar Experience,@medrxivpreprint,COVID-19 Infection Among Healthcare Workers in a National Healthcare System: the Qatar Experience  https://t.co/amLP3oTyzO #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20154435,"Face masks release water vapour, but where does it go? An early observational study",@leoniedelt,Interesting!
http://medrxiv.org/cgi/content/short/2020.08.09.20154435,"Face masks release water vapour, but where does it go? An early observational study",@medrxivpreprint,"Face masks release water vapour, but where does it go? An early observational study  https://t.co/kmcRMcTrnT #medRxiv"
http://medrxiv.org/cgi/content/short/2020.08.07.20169441,Production of Trimeric SARS-CoV-2 Spike Protein by CHO Cells for Serological COVID-19 Testing,@medrxivpreprint,Production of Trimeric SARS-CoV-2 Spike Protein by CHO Cells for Serological COVID-19 Testing  https://t.co/SEDeziAYa3 #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20171041,"A city-level analysis of air pollution, climate and COVID-19 early spread during the Spanish lockdown",@medrxivpreprint,"A city-level analysis of air pollution, climate and COVID-19 early spread during the Spanish lockdown  https://t.co/czUITUdu2T #medRxiv"
http://medrxiv.org/cgi/content/short/2020.08.09.20171173,Effects of universal masking on Massachusetts healthcare workers' COVID-19 incidence,@medrxivpreprint,Effects of universal masking on Massachusetts healthcare workers' COVID-19 incidence  https://t.co/RSmcRe1aL2 #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20170985,COVID-19 in rheumatic diseases: A random cross-sectional telephonic survey,@medrxivpreprint,COVID-19 in rheumatic diseases: A random cross-sectional telephonic survey  https://t.co/ZltkHx9aGF #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20170910,Acute Lung injury evolution in Covid-19,@epidatum,"Acute Lung injury evolution in #Covid_19  A morphologically distinct #Covid pattern was identified in the earlier stages, with prominent epithelial and endothelial cell abnormalities, differing strikingly from findings in classical diffuse alveolar damage"
http://medrxiv.org/cgi/content/short/2020.08.09.20170910,Acute Lung injury evolution in Covid-19,@benoit_durand,"RT @phil_w888: 791/  Italy (adult smoking rate was 23.7% in 2016)  Of 23 hospitalized patients who had a lung biopsy, zero were current smo…"
http://medrxiv.org/cgi/content/short/2020.08.09.20170910,Acute Lung injury evolution in Covid-19,@phil_w888,"791/  Italy (adult smoking rate was 23.7% in 2016)  Of 23 hospitalized patients who had a lung biopsy, zero were current smokers & 2 were former smokers (8.7%)  Note: ""Mean duration of hospitalization was 29 days""  https://t.co/PoySxJ3h4b"
http://medrxiv.org/cgi/content/short/2020.08.09.20170910,Acute Lung injury evolution in Covid-19,@freurard,RT @Em23397: #apresJ20 #longCovid Acute Lung injury evolution in Covid-19 | medRxiv https://t.co/HiiYtP3yBP
http://medrxiv.org/cgi/content/short/2020.08.09.20170910,Acute Lung injury evolution in Covid-19,@Em23397,#apresJ20 #longCovid Acute Lung injury evolution in Covid-19 | medRxiv https://t.co/HiiYtP3yBP
http://medrxiv.org/cgi/content/short/2020.08.09.20170910,Acute Lung injury evolution in Covid-19,@medrxivpreprint,Acute Lung injury evolution in Covid-19  https://t.co/ZdOCNHRijy #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.07.20170373,Protocol for a Rapid Scoping Review of Evidence of Outdoor Transmission of COVID-19,@CHOMES102,RT @medrxivpreprint: Protocol for a Rapid Scoping Review of Evidence of Outdoor Transmission of COVID-19  https://t.co/LcxCjZQH7i #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.07.20170373,Protocol for a Rapid Scoping Review of Evidence of Outdoor Transmission of COVID-19,@tomwilliams1974,"RT @ProfMikeWeed: Protocol pre-print now also published on medrXiv  ""Rapid Scoping Review of Evidence of Incidents of #OutdoorTransmission…"
http://medrxiv.org/cgi/content/short/2020.08.07.20170373,Protocol for a Rapid Scoping Review of Evidence of Outdoor Transmission of COVID-19,@ProfMikeWeed,"Protocol pre-print now also published on medrXiv  ""Rapid Scoping Review of Evidence of Incidents of #OutdoorTransmission of #COVID19""  Commissioned from @spear_News at @CanterburyCCUni by @parkrun. https://t.co/EHdjlBWG2V"
http://medrxiv.org/cgi/content/short/2020.08.07.20170373,Protocol for a Rapid Scoping Review of Evidence of Outdoor Transmission of COVID-19,@medrxivpreprint,Protocol for a Rapid Scoping Review of Evidence of Outdoor Transmission of COVID-19  https://t.co/LcxCjZQH7i #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@mapope60,RT @FArtigao: Eficacia del plasma de personas convalecientes en 35.200 pacientes ingresados con #COVID19 (52.3% en UCI). Menor mortalidad c…
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@ElliTheelPhD,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@immuninfection,RT @FArtigao: Eficacia del plasma de personas convalecientes en 35.200 pacientes ingresados con #COVID19 (52.3% en UCI). Menor mortalidad c…
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@Sofiavi60344861,RT @FArtigao: Eficacia del plasma de personas convalecientes en 35.200 pacientes ingresados con #COVID19 (52.3% en UCI). Menor mortalidad c…
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@FArtigao,Eficacia del plasma de personas convalecientes en 35.200 pacientes ingresados con #COVID19 (52.3% en UCI). Menor mortalidad con la administración precoz (<3 días del diagnóstico) y con concentraciones de anticuerpos IgG más altas en el plasma. 👉https://
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@sboyd2575,RT @nbennett04: Previous safety data (20k pts) from this group showing low ADRs (<1%) and now clinical data from the Mayo plasma EAP👇.
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@aliuho960,"RT @virusfantom: (1/n) Konvalesan plazma covid19 ölümlerini azaltıyor, yeni çıkan bu ön-basıma göre. Plazma alan 35bin hastanın %52’si yoğu…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@Immunojaculin,Promising preprint number 2!  #convalescentplasma therapy may reduce severity and help inform treatment for #COVID19 https://t.co/fPRHGx4XCt
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@efibaron,@carteblanchetv @DerekWatts @MNet @DStv https://t.co/Nf04ymgPrf
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@efibaron,@theSANBS https://t.co/Nf04ymgPrf
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@JimenaPrieto5,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@MSextonMD,EAP Efficacy Paper is out! @MayoAnesthesia @MayoClinic
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@JuanGRipoll1,RT @JuanGRipoll1: The efficacy data of the convalescent plasma use is now available! https://t.co/7Y3jozvoG6
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@KelseyOlson33,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@JudithaOtero,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@ascorbicacid51,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@virusfantom,"(1/n) Konvalesan plazma covid19 ölümlerini azaltıyor, yeni çıkan bu ön-basıma göre. Plazma alan 35bin hastanın %52’si yoğun bakımda, %28’i vantilatöre bağlı idi. Yedinci ve otuzuncu gün ölümlere bakıldı. Sonuçlar için devam: https://t.co/IgAJuWLICZ"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@JuanGRipoll1,The efficacy data of the convalescent plasma use is now available!
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@avstmd,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@MadrigalMatute,RT @ShohamTxID: ⁦@DrMJoyner⁩  ⁦@ACasadevall1⁩  and team did it! Now let’s figure out how to move forward  https://t.co/KM4xmAUwdO
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@ABsteward,"Thanks for sharing, I had the same reaction, Not an RCT 😔"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@Tighnacoille,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@DrJPHenderson,"Big study of convalescent plasma includes new efficacy data identified through inherently randomized administration of units with varying titers in the early days of U.S. pandemic. Again, early administration appears critical! https://t.co/87IKrYlq0B"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@LMKingsley66,RT @ShohamTxID: ⁦@DrMJoyner⁩  ⁦@ACasadevall1⁩  and team did it! Now let’s figure out how to move forward  https://t.co/KM4xmAUwdO
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@AB_IDPharmD,"RT @GermHunterMD: 🔥 Preliminary results from convalescent plasma Expanded Access Program 🔥   35,322 patients 😯  Not an RCT 😞  But, lower mo…"
http://medrxiv.org/cgi/content/short/2020.08.12.20169359,Effect of Convalescent Plasma on Mortality among Hospitalized Patients with COVID-19: Initial Three-Month Experience,@FranciscoMarty_,"RT @dr_michaelmarks: 35,322 missed opportunities. I will never understand this approach to assessing treatment efficacy."
